Entity,Day,COVID-19 doses (daily)
Africa,2022-11-22,1772643
Africa,2022-11-23,1772472
Africa,2022-11-24,1773381
Africa,2022-11-25,1774386
Africa,2022-11-26,1771944
Africa,2022-11-27,1766594
Africa,2022-11-28,1341765.6
Africa,2022-11-29,1288931.4
Africa,2022-11-30,1289495.5
Africa,2022-12-01,1289252.5
Africa,2022-12-02,1288493.2
Africa,2022-12-03,1286084.2
Africa,2022-12-04,1281067.2
Africa,2022-12-05,1376793.6
Africa,2022-12-06,1381161.9
Africa,2022-12-07,1382665.9
Africa,2022-12-08,1381560.8
Africa,2022-12-09,1381712.8
Africa,2022-12-10,1380283.8
Africa,2022-12-11,1376229.8
Africa,2022-12-12,1043713.1
Africa,2022-12-13,1062606.6
Africa,2022-12-14,1064994.1
Africa,2022-12-15,1065642.1
Africa,2022-12-16,1063600.1
Africa,2022-12-17,1060574.1
Africa,2022-12-18,1060721.1
Africa,2022-12-19,631474.94
Africa,2022-12-20,631474.94
Africa,2022-12-21,637999.5
Africa,2022-12-22,637668.5
Africa,2022-12-23,640886.5
Africa,2022-12-24,639641.5
Africa,2022-12-25,638785.5
Africa,2022-12-26,639778.94
Africa,2022-12-27,648299.7
Africa,2022-12-28,648299.7
Africa,2022-12-29,648299.7
Africa,2022-12-30,648299.7
Africa,2022-12-31,648299.7
Africa,2023-01-01,648299.7
Africa,2023-01-02,630090.9
Africa,2023-01-03,617498.94
Africa,2023-01-04,621161.75
Africa,2023-01-05,621161.75
Africa,2023-01-06,621161.75
Africa,2023-01-07,618310.75
Africa,2023-01-08,618310.75
Africa,2023-01-09,545291.75
Africa,2023-01-10,545291.75
Africa,2023-01-11,545291.75
Africa,2023-01-12,545291.75
Africa,2023-01-13,545291.75
Africa,2023-01-14,545291.75
Africa,2023-01-15,545291.75
Africa,2023-01-16,445386.28
Africa,2023-01-17,445873.06
Africa,2023-01-18,445291.47
Africa,2023-01-19,445291.47
Africa,2023-01-20,445291.47
Africa,2023-01-21,445291.47
Africa,2023-01-22,445291.47
Africa,2023-01-23,432248.53
Africa,2023-01-24,432248.53
Africa,2023-01-25,432237.88
Africa,2023-01-26,432237.88
Africa,2023-01-27,432237.88
Africa,2023-01-28,432237.88
Africa,2023-01-29,432237.88
Africa,2023-01-30,785633.3
Africa,2023-01-31,785633.3
Africa,2023-02-01,572566.44
Africa,2023-02-02,572566.44
Africa,2023-02-03,572566.44
Africa,2023-02-04,572566.44
Africa,2023-02-05,571868.06
Africa,2023-02-06,597267
Africa,2023-02-07,597267
Africa,2023-02-08,597235.8
Africa,2023-02-09,597235.8
Africa,2023-02-10,597235.8
Africa,2023-02-11,597235.8
Africa,2023-02-12,597235.8
Africa,2023-02-13,640111.44
Africa,2023-02-14,640987.1
Africa,2023-02-15,639985.94
Africa,2023-02-16,639985.94
Africa,2023-02-17,639985.94
Africa,2023-02-18,639985.94
Africa,2023-02-19,639985.94
Africa,2023-02-20,616629.25
Africa,2023-02-21,616629.25
Africa,2023-02-22,521637.22
Africa,2023-02-23,521637.22
Africa,2023-02-24,521699.22
Africa,2023-02-25,521699.22
Africa,2023-02-26,521699.22
Africa,2023-02-27,435970.03
Africa,2023-02-28,435970.03
Africa,2023-03-01,435821.25
Africa,2023-03-02,435821.25
Africa,2023-03-03,435821.25
Africa,2023-03-04,435821.25
Africa,2023-03-05,435821.25
Africa,2023-03-06,661692.25
Africa,2023-03-07,661692.25
